ex_date,distribution,source_capture,source_as_of
2006-06-16,0.55547,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2006-09-15,0.57934,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2006-12-15,0.79265,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2007-03-16,0.55127,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2007-06-15,0.6556,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2007-09-21,0.71872,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2007-12-21,0.77541,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2008-03-20,0.64195,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2008-06-20,0.66922,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2008-09-19,0.69092,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2008-12-19,0.71934,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2009-03-20,0.56143,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2009-06-19,0.51819,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2009-09-18,0.50833,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2009-12-18,0.59019,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2010-03-19,0.48038,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2010-06-18,0.53128,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2010-09-17,0.60213,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
2010-12-17,0.65276,https://web.archive.org/web/20110103050231id_/https://www.spdrs.com/resources/distributions/index.seam,2010-12-29
