source_id,title,authors,publication_year,doi,direct_url,primary_source,verification_status,verification_method,verification_source_url,verified_on,metadata_correction_note,claim_extraction_status
SRC0001,Simple Technical Trading Rules and the Stochastic Properties of Stock Returns,William Brock; Josef Lakonishok; Blake LeBaron,1992,10.1111/j.1540-6261.1992.tb04681.x,https://doi.org/10.1111/j.1540-6261.1992.tb04681.x,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/j.1540-6261.1992.tb04681.x,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0002,"Data-Snooping, Technical Trading Rule Performance, and the Bootstrap",Ryan Sullivan; Allan Timmermann; Halbert White,1999,10.1111/0022-1082.00163,https://doi.org/10.1111/0022-1082.00163,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/0022-1082.00163,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0003,"Foundations of Technical Analysis: Computational Algorithms, Statistical Inference, and Empirical Implementation",Andrew W. Lo; Harry Mamaysky; Jiang Wang,2000,10.1111/0022-1082.00265,https://doi.org/10.1111/0022-1082.00265,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1111/0022-1082.00265,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0004,Using Genetic Algorithms to Find Technical Trading Rules,Franklin Allen; Risto Karjalainen,1999,10.1016/S0304-405X(98)00052-X,https://doi.org/10.1016/S0304-405X(98)00052-X,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/S0304-405X(98)00052-X,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0005,Profits from Technical Trading Rules,Mark J. Ready,2002,10.2307/3666314,https://doi.org/10.2307/3666314,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.2307/3666314,2026-08-03,Corrected JSTOR identifier; the prior identifier belonged to another article.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0006,The Profitability of Technical Trading Rules in the Asian Stock Markets,Hendrik Bessembinder; Kalok Chan,1995,10.1016/0927-538X(95)00002-3,https://doi.org/10.1016/0927-538X(95)00002-3,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1016/0927-538X(95)00002-3,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0007,Market Efficiency and the Returns to Technical Analysis,Hendrik Bessembinder; Kalok Chan,1998,10.2307/3666289,https://doi.org/10.2307/3666289,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.2307/3666289,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0008,"Moving Average Rules, Volume and the Predictability of Security Returns with Feedforward Networks",Ramazan Gençay; Thanasis Stengos,1998,10.1002/(SICI)1099-131X(1998090)17:5/6<401::AID-FOR704>3.0.CO;2-C,https://doi.org/10.1002/(SICI)1099-131X(1998090)17:5/6%3C401::AID-FOR704%3E3.0.CO;2-C,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1002/(SICI)1099-131X(1998090)17:5/6%3C401::AID-FOR704%3E3.0.CO;2-C,2026-08-03,direct_url: https://doi.org/10.1002/(SICI)1099-131X(1998090)17:5/6<401::AID-FOR704>3.0.CO;2-C -> https://doi.org/10.1002/(SICI)1099-131X(1998090)17:5/6%3C401::AID-FOR704%3E3.0.CO;2-C | Added the coauthor shown in the publisher record.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0009,On Technical Analysis,Stephen Brown; Robert Jennings,1989,10.1093/rfs/2.4.527,https://doi.org/10.1093/rfs/2.4.527,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.1093/rfs/2.4.527,2026-08-03,No metadata correction required in the final audit.,bibliographic_identity_verified; quantitative results not independently replicated in this package
SRC0010,Some New Filter Rule Tests: Methods and Results,Richard J. Sweeney,1988,10.2307/2331068,https://doi.org/10.2307/2331068,true,verified_bibliographic_identity_exact,publisher_or_primary_repository_metadata_crosscheck,https://doi.org/10.2307/2331068,2026-08-03,Corrected to the exact JFQA/JSTOR article record.,bibliographic_identity_verified; quantitative results not independently replicated in this package
