dataset_id,provider,official_url,free,license_or_terms,coverage_start,coverage_end,native_frequency,publication_delay,revision_policy,historical_vintages_available,causal_available_at,schema,format,quality,gaps,survivorship_status,corporate_actions,timezone,calendar,download_method,reproducibility,free_fallback,classification,rejection_reason
DS001,State Street Global Advisors — SPDR S&P 500 ETF Trust,https://www.ssga.com/us/en/intermediary/etfs/spdr-sp-500-etf-trust-spy,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1993-01-22,current_or_provider_archive,event/daily fund record,after declaration/payment schedule,fund records may be restated for corrections,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Official distributions and fund identity; does not by itself provide a complete adjusted OHLC history.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS002,Stooq — SPY.US daily OHLCV,https://stooq.com/q/d/?s=spy.us,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1993-01-29,current_or_provider_archive,daily,end of day,vendor may correct history,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Free OHLCV; adjustment semantics and terms must be snapshotted and cross-checked.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS003,Yahoo Finance — SPY chart/history endpoint,https://finance.yahoo.com/quote/SPY/history/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1993-01-29,current_or_provider_archive,daily,end of day,vendor can revise/correct,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,medium_after_repair,Free public display/API behavior is unofficial for research automation; use only with terms review and a second source.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_after_repair,
DS004,Cboe — VIX historical data,https://www.cboe.com/tradable_products/vix/vix_historical_data/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1990-01-02,current_or_provider_archive,daily,after close,Cboe may correct history,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Official VIX daily archive.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS005,Cboe — VXO historical data,https://www.cboe.com/tradable_products/vix/vix_historical_data/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1986-01-02,current_or_provider_archive,daily,after close,may be corrected,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Official legacy volatility index archive.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS006,Cboe — SKEW historical data,https://www.cboe.com/us/indices/dashboard/skew/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",1990-01-02,current_or_provider_archive,daily,after close,may be corrected,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Official tail-skew index values; historical dissemination status must be checked for early backfills.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS007,Cboe — VVIX historical data,https://www.cboe.com/us/indices/dashboard/vvix/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2007-01-03,current_or_provider_archive,daily,after close,may be corrected,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Official volatility-of-volatility index archive.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS008,Cboe — VIX9D index history,https://www.cboe.com/us/indices/dashboard/vix9d/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2011-01-03,current_or_provider_archive,daily,after close,may be corrected,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Post-train-start index; candidate availability begins only when causally disseminated.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS009,Cboe — VIX3M index history,https://www.cboe.com/us/indices/dashboard/vix3m/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2007-12-04,current_or_provider_archive,daily,after close,may be corrected,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Official medium-term implied-volatility index.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
DS010,Cboe — VIX6M index history,https://www.cboe.com/us/indices/dashboard/vix6m/,true,"Review provider terms before automated download; store retrieval code, URLs and hashes, not restricted raw redistribution.",2008-01-03,current_or_provider_archive,daily,after close,may be corrected,no,"Use the actual provider release/publication timestamp; if unavailable, lag conservatively to the next SPY session.","Provider-specific; normalize to observation_time, release_time, value, vintage, source_version.",CSV/XLSX/JSON/HTML/provider file as documented,high,Official six-month implied-volatility index.,not_applicable_or_documented; point-in-time membership required for any cross-section.,SPY price sources must expose or permit reconstruction of distributions/splits; otherwise not execution-grade.,Provider timezone; normalize release timestamps to America/New_York without changing historical DST.,Map observations to NYSE/SPY sessions with explicit holiday and non-session rules.,"Versioned adapter with raw-byte SHA-256, HTTP metadata and retrieval timestamp.",deterministic_after_snapshot,See data_acquisition_plan.md; never substitute silently.,usable_now,
