source_id,title,primary_source,verification_status,verification_source_url,doi,verified_on,counted_in_verified_primary_total,notes
SRC0250,Intraday and Overnight Returns and Day-of-the-Week Effects,true,verified_bibliographic_identity_exact,https://doi.org/10.1111/j.1475-6803.1985.tb00393.x,10.1111/j.1475-6803.1985.tb00393.x,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0251,Return Differences between Trading and Non-Trading Hours: Like Night and Day,true,verified_bibliographic_identity_exact,https://doi.org/10.2139/ssrn.1004081,10.2139/ssrn.1004081,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0252,Measuring Downside Risk — Realised Semivariance,true,verified_bibliographic_identity_exact,https://doi.org/10.1093/acprof:oso/9780199549498.003.0007,10.1093/acprof:oso/9780199549498.003.0007,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0253,"Good Volatility, Bad Volatility: Signed Jumps and the Persistence of Volatility",true,verified_bibliographic_identity_exact,https://doi.org/10.1162/REST_a_00503,10.1162/REST_a_00503,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0254,Market Statistics and Technical Analysis: The Role of Volume,true,verified_bibliographic_identity_exact,https://doi.org/10.1111/j.1540-6261.1994.tb04424.x,10.1111/j.1540-6261.1994.tb04424.x,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0255,Dynamic Volume-Return Relation of Individual Stocks,true,verified_bibliographic_identity_exact,https://doi.org/10.1093/rfs/15.4.1005,10.1093/rfs/15.4.1005,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0256,The High-Volume Return Premium,true,verified_bibliographic_identity_exact,https://doi.org/10.1111/0022-1082.00349,10.1111/0022-1082.00349,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0257,Price Momentum and Trading Volume,true,verified_bibliographic_identity_exact,https://doi.org/10.1111/0022-1082.00280,10.1111/0022-1082.00280,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0258,Trading Volume and Cross-Autocorrelations in Stock Returns,true,verified_bibliographic_identity_exact,https://doi.org/10.1111/0022-1082.00231,10.1111/0022-1082.00231,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0259,The 52-Week High and Momentum Investing,true,verified_bibliographic_identity_exact,https://doi.org/10.1111/j.1540-6261.2004.00695.x,10.1111/j.1540-6261.2004.00695.x,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0260,Momentum and Reversals in Equity-Index Returns During Periods of Abnormal Turnover and Return Dispersion,true,verified_bibliographic_identity_exact,https://doi.org/10.1111/1540-6261.00576,10.1111/1540-6261.00576,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0261,Continuous Inspection Schemes,true,verified_bibliographic_identity_exact,https://doi.org/10.1093/biomet/41.1-2.100,10.1093/biomet/41.1-2.100,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0262,Techniques for Testing the Constancy of Regression Relationships over Time,true,verified_bibliographic_identity_exact,https://doi.org/10.1111/j.2517-6161.1975.tb01532.x,10.1111/j.2517-6161.1975.tb01532.x,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0263,Use of Cumulative Sums of Squares for Retrospective Detection of Changes of Variance,true,verified_bibliographic_identity_exact,https://doi.org/10.1080/01621459.1994.10476824,10.1080/01621459.1994.10476824,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0264,Classification and Regression Trees,true,verified_bibliographic_identity_exact,https://www.routledge.com/Classification-and-Regression-Trees/Breiman-Friedman-Olshen-Stone/p/book/9780412048418,,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0265,Sector Rotation across the Business Cycle: A Systematic Failure,true,verified_bibliographic_identity_exact,https://doi.org/10.1002/ijfe.2882,10.1002/ijfe.2882,2026-08-05,true,Bibliographic identity verified; empirical results not independently recomputed.
SRC0266,"Official fund pages for SPY, DIA and Select Sector SPDR ETFs",false,contextual_record_not_counted_as_verified_primary,https://www.ssga.com/us/en/individual/etfs,,2026-08-05,false,Contextual provider or prior-artifact record.
SRC0267,"Official fund pages for IWM, IEF and TLT",false,contextual_record_not_counted_as_verified_primary,https://www.ishares.com/us,,2026-08-05,false,Contextual provider or prior-artifact record.
SRC0268,Official fund pages for QQQ and RSP,false,contextual_record_not_counted_as_verified_primary,https://www.invesco.com/us/en/financial-products/etfs.html,,2026-08-05,false,Contextual provider or prior-artifact record.
SRC0269,SP500 long-short daily V1 final train artifact and negative result,false,contextual_record_not_counted_as_verified_primary,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30985200320,,2026-08-05,false,Contextual provider or prior-artifact record.
