strategy_id,family,variant_label,v2_economic_signature,exact_collision_with_v1,nearest_v1_family,semantic_overlap,novelty_basis,manual_review_status
V2STRAT0001,overnight_intraday_tug,TUG_CONT_1,11ac84c3998a6274464b01e465f1e2faeb7dfc174161516c7c986c515579f8c4,false,overnight_futures_proxy,near_neighbor_to_V1_overnight_but_uses_explicit_overnight_minus_intraday_decomposition,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0002,overnight_intraday_tug,TUG_CONT_5,14e2b230e02353c1c54b262efdf3eb73e0e6151ff64d7954e73a3ffc6b17a4ac,false,overnight_futures_proxy,near_neighbor_to_V1_overnight_but_uses_explicit_overnight_minus_intraday_decomposition,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0003,overnight_intraday_tug,TUG_CONT_20,eb2883e39d5ca5f42ac1cd656211103bcbf127a6070e7abe6e6d454e94d172c7,false,overnight_futures_proxy,near_neighbor_to_V1_overnight_but_uses_explicit_overnight_minus_intraday_decomposition,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0004,overnight_intraday_tug,TUG_REVERSE_1,3cb8d392ed6f17a63eeadc5a48e57348a7ff15765b56732116b865ee0d75d229,false,overnight_futures_proxy,near_neighbor_to_V1_overnight_but_uses_explicit_overnight_minus_intraday_decomposition,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0005,overnight_intraday_tug,TUG_REVERSE_5,2eefefdeee47da0ddc642e0f9486688657a6eb11d77ca989a6a7aad6e9a56655,false,overnight_futures_proxy,near_neighbor_to_V1_overnight_but_uses_explicit_overnight_minus_intraday_decomposition,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0006,overnight_intraday_tug,TUG_REVERSE_20,574f6b00c3a720a4ec71f6217655aeae93831dbfda57816c14b8059d1069599c,false,overnight_futures_proxy,near_neighbor_to_V1_overnight_but_uses_explicit_overnight_minus_intraday_decomposition,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0007,gap_body_interaction,GAP_BODY_AGREE_1,a83a64a797fcd5134af610b923b881fdad30a40f57a6738fb4094dc3bfae6257,false,overnight_futures_proxy,new_interaction_not_in_V1,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0008,gap_body_interaction,GAP_BODY_AGREE_5,e10c00154fb381690c26a78073f71ab861c046ac809ed3fd9bed5d64c29faa9c,false,overnight_futures_proxy,new_interaction_not_in_V1,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0009,gap_body_interaction,GAP_BODY_AGREE_20,2e242f4edacfb0f2ef9f83dadbe2b57302d6d5cc3fdc751f6ce9be7f18e038c4,false,overnight_futures_proxy,new_interaction_not_in_V1,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0010,gap_body_interaction,GAP_REJECT_BODY_1,5d562582b52ff83f8a89f6c6323fe5279b6d229883e9871d106ac5bde21ac5e3,false,overnight_futures_proxy,new_interaction_not_in_V1,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0011,gap_body_interaction,GAP_REJECT_BODY_5,5ac6bcbaacc3c5bee4118e065211a1a40380136e77e3befb97e9835fb767dc42,false,overnight_futures_proxy,new_interaction_not_in_V1,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0012,gap_body_interaction,GAP_REJECT_BODY_20,326159c18ee478190e9ac4d3df1588fc05c1529442e05ffbc84b250704365028,false,overnight_futures_proxy,new_interaction_not_in_V1,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0013,close_location_pressure,CLV_MEAN_1,620323150b38b432d25ff4adc3d0458b8199f641fa152dbcb3442e88a956f097,false,none,new_OHLC_geometry,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0014,close_location_pressure,CLV_MEAN_3,ae22efaad0992ebbc08fa003e409154a3c29637779daf4a9d5cea1dac3170509,false,none,new_OHLC_geometry,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0015,close_location_pressure,CLV_MEAN_5,f2a3c70eb1a471c5776d13cfc0a535a2a9387dc8e3ee1adab926c4afe804755c,false,none,new_OHLC_geometry,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0016,close_location_pressure,CLV_MEAN_10,5ced93a3235788fcb84c396c808c02517bef0310869aad157109d5840cad39d5,false,none,new_OHLC_geometry,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
V2STRAT0017,close_location_pressure,CLV_MEAN_20,b1db6ccd8522a8ef039d7173a35b05173008a9fdb473fc3c0847f1e6a6b1a4da,false,none,new_OHLC_geometry,"New formula, state transition, data panel, estimator, or fully frozen model specification; not a parameter-only copy of a V1 rule.",passed_pre_backtest_novelty_review
