source_id,authors,title,publication_year,publication_date_if_known,direct_url,doi,source_type,peer_reviewed,period_tested,universe,data_used,frequency,signal_definition,execution_assumption,published_cost_assumption,published_results,out_of_sample_evidence,independent_replication,daily_replication_possible,available_before_2011,lookahead_risk,survivorship_risk,revision_risk,data_mining_risk,parameter_count,evidence_quality,usefulness_for_plus_minus_one,decision,decision_reason,study_claim,model_inference,unverified_items,evidence_track,research_family,primary_source,verification_status,canonical_key,verification_method,verification_source_url,verified_on,metadata_correction_note,claim_extraction_status
SRC0250,Thomas H. McInish; Robert A. Wood,Intraday and Overnight Returns and Day-of-the-Week Effects,1985,,https://doi.org/10.1111/j.1475-6803.1985.tb00393.x,10.1111/j.1475-6803.1985.tb00393.x,journal_article,true,See original source; no performance number imported into V2.,Source-specific; not assumed identical to SPY.,"Source-specific market, return, volume, range or methodological data.",Daily or source-native; V2 uses only daily causal transformations.,The source motivates the mechanism; V2 formulas are separately frozen and are not represented as exact replications unless stated.,Not imported. V2 universally decides after close t and executes next SPY open t+1.,Source-specific; V2 headline costs are exactly zero by user contract.,Daily returns split into overnight and intraday components behave differently; thin trading can mask calendar effects.,See source. V2 treats all new rules as untested until Aurora train.,Not established by this record unless separately cited.,true,true,medium; V2 requires rolling/expanding calculations ending at close t.,low for SPY-only; fixed-ETF panels avoid current-constituent reconstruction.,low for raw daily market data; vendor corrections require snapshot hashes.,high at campaign level; 144 V2 plus 168 V1 declared trials are counted cumulatively.,small and frozen,high,"Supports testing separately defined overnight and intraday signals, not assuming total daily return is homogeneous.",include,"Supports testing separately defined overnight and intraday signals, not assuming total daily return is homogeneous.",Daily returns split into overnight and intraday components behave differently; thin trading can mask calendar effects.,A plausible mechanism is translated into a deterministic +1/-1 candidate; performance remains unknown.,Exact empirical tables and coefficients were not independently reproduced during package construction.,pre_2011_evidence,overnight_intraday,true,verified_bibliographic_identity_exact,72aa38f7469ceb4a992341b3693d703cdd80b057a145a07460c04d0f0219d3ea,Official publisher/repository metadata and DOI where available.,https://doi.org/10.1111/j.1475-6803.1985.tb00393.x,2026-08-05,,abstract_or_official_metadata_checked
SRC0251,Michael T. Cliff; Michael J. Cooper; Huseyin Gulen,Return Differences between Trading and Non-Trading Hours: Like Night and Day,2008,,https://doi.org/10.2139/ssrn.1004081,10.2139/ssrn.1004081,working_paper,false,See original source; no performance number imported into V2.,Source-specific; not assumed identical to SPY.,"Source-specific market, return, volume, range or methodological data.",Daily or source-native; V2 uses only daily causal transformations.,The source motivates the mechanism; V2 formulas are separately frozen and are not represented as exact replications unless stated.,Not imported. V2 universally decides after close t and executes next SPY open t+1.,Source-specific; V2 headline costs are exactly zero by user contract.,Documents large differences between U.S. equity returns earned during trading and non-trading hours.,See source. V2 treats all new rules as untested until Aurora train.,Not established by this record unless separately cited.,true,true,medium; V2 requires rolling/expanding calculations ending at close t.,low for SPY-only; fixed-ETF panels avoid current-constituent reconstruction.,low for raw daily market data; vendor corrections require snapshot hashes.,high at campaign level; 144 V2 plus 168 V1 declared trials are counted cumulatively.,small and frozen,medium,Motivates decomposition and disagreement/tug-of-war rules; not treated as proof of a tradable SPY sign.,include_with_caution,Motivates decomposition and disagreement/tug-of-war rules; not treated as proof of a tradable SPY sign.,Documents large differences between U.S. equity returns earned during trading and non-trading hours.,A plausible mechanism is translated into a deterministic +1/-1 candidate; performance remains unknown.,Exact empirical tables and coefficients were not independently reproduced during package construction.,pre_2011_evidence,overnight_intraday,true,verified_bibliographic_identity_exact,c938737d6899249b3d40692d6e51c8a5296f4a9c993c77cc50c8e6b3a29e9508,Official publisher/repository metadata and DOI where available.,https://doi.org/10.2139/ssrn.1004081,2026-08-05,,abstract_or_official_metadata_checked
SRC0252,Ole E. Barndorff-Nielsen; Silja Kinnebrock; Neil Shephard,Measuring Downside Risk — Realised Semivariance,2010,,https://doi.org/10.1093/acprof:oso/9780199549498.003.0007,10.1093/acprof:oso/9780199549498.003.0007,book_chapter,true,See original source; no performance number imported into V2.,Source-specific; not assumed identical to SPY.,"Source-specific market, return, volume, range or methodological data.",Daily or source-native; V2 uses only daily causal transformations.,The source motivates the mechanism; V2 formulas are separately frozen and are not represented as exact replications unless stated.,Not imported. V2 universally decides after close t and executes next SPY open t+1.,Source-specific; V2 headline costs are exactly zero by user contract.,Introduces realized positive and negative semivariance and argues that downside variation contains predictive information for future volatility.,See source. V2 treats all new rules as untested until Aurora train.,Not established by this record unless separately cited.,true,true,medium; V2 requires rolling/expanding calculations ending at close t.,low for SPY-only; fixed-ETF panels avoid current-constituent reconstruction.,low for raw daily market data; vendor corrections require snapshot hashes.,high at campaign level; 144 V2 plus 168 V1 declared trials are counted cumulatively.,small and frozen,high,Motivates signed daily semivariance proxies with explicit caveat that daily data are coarser than the original high-frequency estimator.,include_with_proxy_caveat,Motivates signed daily semivariance proxies with explicit caveat that daily data are coarser than the original high-frequency estimator.,Introduces realized positive and negative semivariance and argues that downside variation contains predictive information for future volatility.,A plausible mechanism is translated into a deterministic +1/-1 candidate; performance remains unknown.,Exact empirical tables and coefficients were not independently reproduced during package construction.,pre_2011_evidence,semivariance_tail,true,verified_bibliographic_identity_exact,13f61e1289c44b7ebd0b459e2af7e540af93db78e8484227f7b49d405e9b222c,Official publisher/repository metadata and DOI where available.,https://doi.org/10.1093/acprof:oso/9780199549498.003.0007,2026-08-05,,abstract_or_official_metadata_checked
SRC0253,Andrew J. Patton; Kevin Sheppard,"Good Volatility, Bad Volatility: Signed Jumps and the Persistence of Volatility",2015,,https://doi.org/10.1162/REST_a_00503,10.1162/REST_a_00503,journal_article,true,See original source; no performance number imported into V2.,Source-specific; not assumed identical to SPY.,"Source-specific market, return, volume, range or methodological data.",Daily or source-native; V2 uses only daily causal transformations.,The source motivates the mechanism; V2 formulas are separately frozen and are not represented as exact replications unless stated.,Not imported. V2 universally decides after close t and executes next SPY open t+1.,Source-specific; V2 headline costs are exactly zero by user contract.,Finds future volatility is more strongly related to past negative-return volatility than positive-return volatility.,See source. V2 treats all new rules as untested until Aurora train.,Not established by this record unless separately cited.,true,false,medium; V2 requires rolling/expanding calculations ending at close t.,low for SPY-only; fixed-ETF panels avoid current-constituent reconstruction.,low for raw daily market data; vendor corrections require snapshot hashes.,high at campaign level; 144 V2 plus 168 V1 declared trials are counted cumulatively.,small and frozen,high,Post-2010 corroboration only; cannot create a genuine pre-2011 discovery claim.,context_only_post_2010,Post-2010 corroboration only; cannot create a genuine pre-2011 discovery claim.,Finds future volatility is more strongly related to past negative-return volatility than positive-return volatility.,A plausible mechanism is translated into a deterministic +1/-1 candidate; performance remains unknown.,Exact empirical tables and coefficients were not independently reproduced during package construction.,post_2010_research,semivariance_tail,true,verified_bibliographic_identity_exact,1394f14292e83cc7dddb59472fd1a3c7f2dbfdf8d515f0d4c237d63f2af91788,Official publisher/repository metadata and DOI where available.,https://doi.org/10.1162/REST_a_00503,2026-08-05,,abstract_or_official_metadata_checked
SRC0254,Lawrence Blume; David Easley; Maureen O'Hara,Market Statistics and Technical Analysis: The Role of Volume,1994,,https://doi.org/10.1111/j.1540-6261.1994.tb04424.x,10.1111/j.1540-6261.1994.tb04424.x,journal_article,true,See original source; no performance number imported into V2.,Source-specific; not assumed identical to SPY.,"Source-specific market, return, volume, range or methodological data.",Daily or source-native; V2 uses only daily causal transformations.,The source motivates the mechanism; V2 formulas are separately frozen and are not represented as exact replications unless stated.,Not imported. V2 universally decides after close t and executes next SPY open t+1.,Source-specific; V2 headline costs are exactly zero by user contract.,Shows theoretically that volume can convey information about information quality beyond price.,See source. V2 treats all new rules as untested until Aurora train.,Not established by this record unless separately cited.,true,true,medium; V2 requires rolling/expanding calculations ending at close t.,low for SPY-only; fixed-ETF panels avoid current-constituent reconstruction.,low for raw daily market data; vendor corrections require snapshot hashes.,high at campaign level; 144 V2 plus 168 V1 declared trials are counted cumulatively.,small and frozen,high,Motivates price-volume interaction rather than volume-only direction.,include,Motivates price-volume interaction rather than volume-only direction.,Shows theoretically that volume can convey information about information quality beyond price.,A plausible mechanism is translated into a deterministic +1/-1 candidate; performance remains unknown.,Exact empirical tables and coefficients were not independently reproduced during package construction.,pre_2011_evidence,volume_liquidity,true,verified_bibliographic_identity_exact,d268f7165c0f762b870c01d6f8b103b29db4438f7856e1d5378461530996f2c6,Official publisher/repository metadata and DOI where available.,https://doi.org/10.1111/j.1540-6261.1994.tb04424.x,2026-08-05,,abstract_or_official_metadata_checked
SRC0255,Guillermo Llorente; Roni Michaely; Gideon Saar; Jiang Wang,Dynamic Volume-Return Relation of Individual Stocks,2002,,https://doi.org/10.1093/rfs/15.4.1005,10.1093/rfs/15.4.1005,journal_article,true,See original source; no performance number imported into V2.,Source-specific; not assumed identical to SPY.,"Source-specific market, return, volume, range or methodological data.",Daily or source-native; V2 uses only daily causal transformations.,The source motivates the mechanism; V2 formulas are separately frozen and are not represented as exact replications unless stated.,Not imported. V2 universally decides after close t and executes next SPY open t+1.,Source-specific; V2 headline costs are exactly zero by user contract.,Risk-sharing trades tend to reverse while speculative trades tend to continue; volume helps distinguish these mechanisms.,See source. V2 treats all new rules as untested until Aurora train.,Not established by this record unless separately cited.,true,true,medium; V2 requires rolling/expanding calculations ending at close t.,low for SPY-only; fixed-ETF panels avoid current-constituent reconstruction.,low for raw daily market data; vendor corrections require snapshot hashes.,high at campaign level; 144 V2 plus 168 V1 declared trials are counted cumulatively.,small and frozen,high,Supports testing signed-volume pressure and volume-conditioned serial-dependence rules.,include,Supports testing signed-volume pressure and volume-conditioned serial-dependence rules.,Risk-sharing trades tend to reverse while speculative trades tend to continue; volume helps distinguish these mechanisms.,A plausible mechanism is translated into a deterministic +1/-1 candidate; performance remains unknown.,Exact empirical tables and coefficients were not independently reproduced during package construction.,pre_2011_evidence,volume_liquidity,true,verified_bibliographic_identity_exact,5ce94fc03cda0f4371af82af1e6a287453c9d88030c6fc1eb27985814c039b82,Official publisher/repository metadata and DOI where available.,https://doi.org/10.1093/rfs/15.4.1005,2026-08-05,,abstract_or_official_metadata_checked
SRC0256,Simon Gervais; Ron Kaniel; Dan H. Mingelgrin,The High-Volume Return Premium,2001,,https://doi.org/10.1111/0022-1082.00349,10.1111/0022-1082.00349,journal_article,true,See original source; no performance number imported into V2.,Source-specific; not assumed identical to SPY.,"Source-specific market, return, volume, range or methodological data.",Daily or source-native; V2 uses only daily causal transformations.,The source motivates the mechanism; V2 formulas are separately frozen and are not represented as exact replications unless stated.,Not imported. V2 universally decides after close t and executes next SPY open t+1.,Source-specific; V2 headline costs are exactly zero by user contract.,Unusually high or low stock trading activity contains information about subsequent returns in the cross-section.,See source. V2 treats all new rules as untested until Aurora train.,Not established by this record unless separately cited.,true,true,medium; V2 requires rolling/expanding calculations ending at close t.,low for SPY-only; fixed-ETF panels avoid current-constituent reconstruction.,low for raw daily market data; vendor corrections require snapshot hashes.,high at campaign level; 144 V2 plus 168 V1 declared trials are counted cumulatively.,small and frozen,high,Supports predeclared volume-pressure variants but is not direct evidence for aggregate SPY timing.,include_with_external_validity_caveat,Supports predeclared volume-pressure variants but is not direct evidence for aggregate SPY timing.,Unusually high or low stock trading activity contains information about subsequent returns in the cross-section.,A plausible mechanism is translated into a deterministic +1/-1 candidate; performance remains unknown.,Exact empirical tables and coefficients were not independently reproduced during package construction.,pre_2011_evidence,volume_liquidity,true,verified_bibliographic_identity_exact,8eb3d415853af76d8c806393c81027445181472b463675ce258e0776e387cd51,Official publisher/repository metadata and DOI where available.,https://doi.org/10.1111/0022-1082.00349,2026-08-05,,abstract_or_official_metadata_checked
SRC0257,Charles M. C. Lee; Bhaskaran Swaminathan,Price Momentum and Trading Volume,2000,,https://doi.org/10.1111/0022-1082.00280,10.1111/0022-1082.00280,journal_article,true,See original source; no performance number imported into V2.,Source-specific; not assumed identical to SPY.,"Source-specific market, return, volume, range or methodological data.",Daily or source-native; V2 uses only daily causal transformations.,The source motivates the mechanism; V2 formulas are separately frozen and are not represented as exact replications unless stated.,Not imported. V2 universally decides after close t and executes next SPY open t+1.,Source-specific; V2 headline costs are exactly zero by user contract.,Past turnover predicts the magnitude and persistence of momentum and later reversal in individual stocks.,See source. V2 treats all new rules as untested until Aurora train.,Not established by this record unless separately cited.,true,true,medium; V2 requires rolling/expanding calculations ending at close t.,low for SPY-only; fixed-ETF panels avoid current-constituent reconstruction.,low for raw daily market data; vendor corrections require snapshot hashes.,high at campaign level; 144 V2 plus 168 V1 declared trials are counted cumulatively.,small and frozen,high,"Motivates using volume to classify continuation versus reversal states, with aggregate-index caveat.",include_with_external_validity_caveat,"Motivates using volume to classify continuation versus reversal states, with aggregate-index caveat.",Past turnover predicts the magnitude and persistence of momentum and later reversal in individual stocks.,A plausible mechanism is translated into a deterministic +1/-1 candidate; performance remains unknown.,Exact empirical tables and coefficients were not independently reproduced during package construction.,pre_2011_evidence,volume_liquidity,true,verified_bibliographic_identity_exact,b52e7367b05a19788edc538ebb946901aea54364ac5dbde85635ebb5158ec784,Official publisher/repository metadata and DOI where available.,https://doi.org/10.1111/0022-1082.00280,2026-08-05,,abstract_or_official_metadata_checked
SRC0258,Tarun Chordia; Bhaskaran Swaminathan,Trading Volume and Cross-Autocorrelations in Stock Returns,2000,,https://doi.org/10.1111/0022-1082.00231,10.1111/0022-1082.00231,journal_article,true,See original source; no performance number imported into V2.,Source-specific; not assumed identical to SPY.,"Source-specific market, return, volume, range or methodological data.",Daily or source-native; V2 uses only daily causal transformations.,The source motivates the mechanism; V2 formulas are separately frozen and are not represented as exact replications unless stated.,Not imported. V2 universally decides after close t and executes next SPY open t+1.,Source-specific; V2 headline costs are exactly zero by user contract.,High-volume portfolios lead low-volume portfolios because information is incorporated at different speeds.,See source. V2 treats all new rules as untested until Aurora train.,Not established by this record unless separately cited.,true,true,medium; V2 requires rolling/expanding calculations ending at close t.,low for SPY-only; fixed-ETF panels avoid current-constituent reconstruction.,low for raw daily market data; vendor corrections require snapshot hashes.,high at campaign level; 144 V2 plus 168 V1 declared trials are counted cumulatively.,small and frozen,high,Motivates fixed-ETF leadership signals while avoiding historical constituent reconstruction.,include,Motivates fixed-ETF leadership signals while avoiding historical constituent reconstruction.,High-volume portfolios lead low-volume portfolios because information is incorporated at different speeds.,A plausible mechanism is translated into a deterministic +1/-1 candidate; performance remains unknown.,Exact empirical tables and coefficients were not independently reproduced during package construction.,pre_2011_evidence,lead_lag,true,verified_bibliographic_identity_exact,ce818658f82d7598f319992a82dd1143e6981bde056a79870066b097d8ff244b,Official publisher/repository metadata and DOI where available.,https://doi.org/10.1111/0022-1082.00231,2026-08-05,,abstract_or_official_metadata_checked
SRC0259,Thomas J. George; Chuan-Yang Hwang,The 52-Week High and Momentum Investing,2004,,https://doi.org/10.1111/j.1540-6261.2004.00695.x,10.1111/j.1540-6261.2004.00695.x,journal_article,true,See original source; no performance number imported into V2.,Source-specific; not assumed identical to SPY.,"Source-specific market, return, volume, range or methodological data.",Daily or source-native; V2 uses only daily causal transformations.,The source motivates the mechanism; V2 formulas are separately frozen and are not represented as exact replications unless stated.,Not imported. V2 universally decides after close t and executes next SPY open t+1.,Source-specific; V2 headline costs are exactly zero by user contract.,Proximity to the 52-week high helps explain cross-sectional momentum profits.,See source. V2 treats all new rules as untested until Aurora train.,Not established by this record unless separately cited.,true,true,medium; V2 requires rolling/expanding calculations ending at close t.,low for SPY-only; fixed-ETF panels avoid current-constituent reconstruction.,low for raw daily market data; vendor corrections require snapshot hashes.,high at campaign level; 144 V2 plus 168 V1 declared trials are counted cumulatively.,small and frozen,high,Motivates simple index state rules based on distance from trailing high; external validity must be tested.,include_with_external_validity_caveat,Motivates simple index state rules based on distance from trailing high; external validity must be tested.,Proximity to the 52-week high helps explain cross-sectional momentum profits.,A plausible mechanism is translated into a deterministic +1/-1 candidate; performance remains unknown.,Exact empirical tables and coefficients were not independently reproduced during package construction.,pre_2011_evidence,reference_price_state,true,verified_bibliographic_identity_exact,cf80aafa63a1734a8ab730aeb23749b25e4003328182b5fc1ca93fc591bd2f9a,Official publisher/repository metadata and DOI where available.,https://doi.org/10.1111/j.1540-6261.2004.00695.x,2026-08-05,,abstract_or_official_metadata_checked
