signature_hash,distinct_strategy_signature,rows,exact_rows,template_rows,primary_family,asset_bucket,signal_bucket,action_bucket,frequency_bucket,parameter_bucket,example_study_id,example_idea_id,example_title
6affe401e8b60a66,volatility_timing|equity_index|volatility_signal|forecast_rank_template|daily|no_explicit_lookback,64,59,5,volatility_timing,equity_index,volatility_signal,forecast_rank_template,daily,no_explicit_lookback,W1843939303,lit_w1843939303_volatility_timing,Decrypting Financial Markets through E-Joint Attention Efforts: On-Line Adaptive Networks of Investors in Periods of Market Uncertainty
10b5c20d7122c90e,volatility_timing|equity_index|volatility_signal|forecast_rank_template|intraday|no_explicit_lookback,33,31,2,volatility_timing,equity_index,volatility_signal,forecast_rank_template,intraday,no_explicit_lookback,W4281673446,lit_w4281673446_volatility_timing,The Effects of COVID-19 outbreak on the Nigerian Stock Exchange performance: Evidence from GARCH Models
95299717ea36a2bf,inflation|bonds_rates|macro_inflation|forecast_rank_template|quarterly|no_explicit_lookback,23,23,0,inflation,bonds_rates,macro_inflation,forecast_rank_template,quarterly,no_explicit_lookback,W3123711277,lit_w3123711277_inflation,Monetary Policy and Exchange Rate Volatility in a Small Open Economy
c738ed7042afe1ed,market_timing|bonds_rates|geopolitical_policy_uncertainty|forecast_rank_template|monthly|9y|9y,23,23,0,market_timing,bonds_rates,geopolitical_policy_uncertainty,forecast_rank_template,monthly,9y|9y,W4405278742,lit_w4405278742_market_timing,"PLACEMENT FACTORS, APPROACHES AND METHODS TO SUBSTANTIATE THE DEVELOPMENT OF REGIONAL ECONOMIC SYSTEMS IN THE REGION"
5fe9f2fc21133a9a,volatility_timing|equity_index|volatility_signal|hedge_safe_haven|daily|no_explicit_lookback,23,20,3,volatility_timing,equity_index,volatility_signal,hedge_safe_haven,daily,no_explicit_lookback,W4404921685,lit_w4404921685_volatility_timing,Resilience of Islamic and conventional stocks to geopolitical conflict: A GARCH model analysis
cad6f9b6c89d3be3,gold|crypto|correlation_spillover|hedge_safe_haven|daily|no_explicit_lookback,22,21,1,gold,crypto,correlation_spillover,hedge_safe_haven,daily,no_explicit_lookback,W7114899970,lit_w7114899970_gold,INVESTIGATION OF SPECULATIVE PRICE MOVEMENTS IN PRECIOUS METALS
759c17f9a88bc192,momentum|equity_index|momentum_trend|long_short_cross_section|daily|12m|12m,22,22,0,momentum,equity_index,momentum_trend,long_short_cross_section,daily,12m|12m,W2097086308,lit_w2097086308_momentum,A Search for Rational Sources of Stock Return Anomalies: Evidence from India
256b6a453b2616a0,volatility_timing|equity_index|volatility_signal|market_timing|daily|no_explicit_lookback,22,22,0,volatility_timing,equity_index,volatility_signal,market_timing,daily,no_explicit_lookback,W4413925877,lit_w4413925877_volatility_timing,"Geopolitical risk contagion across strategic sectors: Nonlinear evidence from defense, cybersecurity, energy, and raw materials"
59cdf4d66b73f8ad,volatility_timing|equity_index|volatility_signal|long_short_cross_section|daily|no_explicit_lookback,21,21,0,volatility_timing,equity_index,volatility_signal,long_short_cross_section,daily,no_explicit_lookback,W2917600866,lit_w2917600866_volatility_timing,Stock Market Trend Prediction Using High-Order Information of Time Series
effe40cfbabfc2a4,liquidity|equity_index|liquidity|forecast_rank_template|daily|no_explicit_lookback,20,20,0,liquidity,equity_index,liquidity,forecast_rank_template,daily,no_explicit_lookback,W2908037609,lit_w2908037609_liquidity,Performance Analysis of Reits: Comparison between M-Reits and UK-Reits
