stage,round_name,configs_evaluated
0,momentum_tsmom,158000
1,sma_trend,168882
2,reversal_pullback,155790
3,realized_vol_drawdown,132200
4,vix_vrp_ivrv,149266
5,put_call_skew_cboe,172061
6,yield_curve_rates,82523
7,calendar_seasonality,91317
8,low_turnover_tactical,87867
9,sparse_cross_feature,87452
10,momentum_tsmom,82347
11,sma_trend,74858
12,reversal_pullback,76446
13,realized_vol_drawdown,82574
14,vix_vrp_ivrv,74000
15,put_call_skew_cboe,69494
16,yield_curve_rates,66186
17,calendar_seasonality,57683
18,low_turnover_tactical,72223
19,sparse_cross_feature,73453
20,momentum_tsmom,78526
21,sma_trend,77286
22,reversal_pullback,76059
23,realized_vol_drawdown,76413
24,vix_vrp_ivrv,72337
25,put_call_skew_cboe,72245
26,yield_curve_rates,75271
27,calendar_seasonality,97586
28,low_turnover_tactical,87513
29,sparse_cross_feature,89052
30,momentum_tsmom,89963
31,sma_trend,95137
32,reversal_pullback,86645
33,realized_vol_drawdown,88202
34,vix_vrp_ivrv,86059
35,put_call_skew_cboe,88162
36,yield_curve_rates,83547
37,calendar_seasonality,92304
38,low_turnover_tactical,85463
39,sparse_cross_feature,83149
40,momentum_tsmom,87096
41,sma_trend,92009
42,reversal_pullback,87502
43,realized_vol_drawdown,91554
44,vix_vrp_ivrv,87537
45,put_call_skew_cboe,82590
46,yield_curve_rates,88278
47,calendar_seasonality,99838
48,low_turnover_tactical,86216
49,sparse_cross_feature,83398
50,momentum_tsmom,93832
51,sma_trend,96676
52,reversal_pullback,91073
53,realized_vol_drawdown,95829
54,vix_vrp_ivrv,92763
55,put_call_skew_cboe,91315
56,yield_curve_rates,90027
57,calendar_seasonality,85632
58,low_turnover_tactical,86877
59,sparse_cross_feature,75937
60,momentum_tsmom,87275
61,sma_trend,74079
