signal,category,official_formula_url,official_formula_sha256,required_inputs,source_used,source_url,license_terms,minimum_history,data_acquired,current_value_calculated,current_value_count,effective_date,available_at,coverage,fidelity,tests_executed,github_run,source_evidence_run,artifact,status,remaining_blocker,strict_score_eligible
AM,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/AM.py,5c66c0e4e0cfcf3ecb68ca6a28d707600500462a8065694d161ab0be380ad750,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
AbnormalAccruals,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/ZZ2_AbnormalAccruals_AbnormalAccrualsPercent.py,3bcd221d7e4099dc71a5760ee086c7a4d0159673840f817b22c2df42415936e4,income|operating_cash_flow|assets|revenue|gross_ppe|sic,sec_edgar,https://www.sec.gov/files/company_tickers_exchange.json,SEC public data; automated access subject to SEC fair-access policy,formula-specific annual lookback; see pinned OpenAP source,True,True,110,2026-03-31T00:00:00+00:00,2026-05-19T20:08:16+00:00,0.04704875962360992,reconstructed,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,current_signal_computed,strict_validation_and_fidelity_gates_pending,False
Accruals,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/Accruals.py,847b1889c54b1c913f94a63647611a98ae908cc33e6364fa7ac2adf5b62d916c,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
AccrualsBM,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/AccrualsBM.py,3d2504ee7c6da044cfb9cbe5da5abc6d2e126a917b22b65333bcd28cde08c1fa,accruals|book_equity|market_equity,,,,formula-specific annual lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_fidelity,unapproved_current_source:sec_edgar|yahoo_public,False
Activism1,13F,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/ZZ1_Activism1_Activism2.py,51efe23e7e46262cb3228fd9a2288863b8653640081af8752443c7e9c7ecbb90,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
Activism2,13F,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/ZZ1_Activism1_Activism2.py,51efe23e7e46262cb3228fd9a2288863b8653640081af8752443c7e9c7ecbb90,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
AdExp,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/AdExp.py,2e813c7e054aecddfe759d1b9c136c88ffb62755408f4ecc3697e870033aa82e,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
AgeIPO,Event,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/AgeIPO.py,e3e6bb214aab63d92c5cbe278462c016d588ab61383cdea8c637b9c12f3f30b3,first_listing_date,,,,formula-specific monthly lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_fidelity,unapproved_current_source:yahoo_public,False
AnnouncementReturn,Price,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/ZZ2_AnnouncementReturn.py,07bbe95a08f0b0492dd4f33f42bb33dde3ab18bab5d89813fda58b7b7d97b635,earnings_announcement_timestamp|daily_returns,,,,formula-specific quarterly lookback; see pinned OpenAP source,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_fidelity,unapproved_current_source:kenneth_french|sec_edgar|yahoo_public,False
BM,Accounting,https://raw.githubusercontent.com/OpenSourceAP/CrossSection/8db892442c2c3a3779b0f1eac4370d3655be15a1/Signals/pyCode/Predictors/BM.py,b852ede9b0b5cb9da89e752ca4c5348ed96380a923357fa9e7dd5274a9a5d946,,,,,not_yet_frozen,False,False,0,,,0.0,unavailable,tests/test_openap_149_acquisition.py,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/31333187227,https://github.com/trading-optimizer-lab-org/aurora/actions/runs/30995267332,openap-149-acquisition-extract-results,blocked_source_failure,implementation_pit_identity_coverage_and_fidelity_pending,False
