artifact_family,artifact_count,total_size_in_bytes,first_created_at,last_created_at,examples_json,decision,retention_class,canonical_replacement
aurora-full-us-daily-pre{n},4,1406605664,2026-07-16T20:01:34Z,2026-07-17T13:45:29Z,"[""aurora-full-us-daily-pre2021"",""aurora-full-us-daily-pre2021"",""aurora-full-us-daily-pre2021""]",archive,historical_reference,none
body-wick-selected-prior-period-results,1,1588,2026-06-16T05:26:19Z,2026-06-16T05:26:19Z,"[""body-wick-selected-prior-period-results""]",archive,historical_reference,none
body-wick-sr-{n}m-overnight-age-sweep-results,1,241477675,2026-06-15T20:24:57Z,2026-06-15T20:24:57Z,"[""body-wick-sr-15m-overnight-age-sweep-results""]",archive,historical_reference,none
body-wick-sr-{n}m-overnight-shard-{n},239,250384846,2026-06-15T20:16:37Z,2026-06-15T20:21:36Z,"[""body-wick-sr-15m-overnight-shard-16"",""body-wick-sr-15m-overnight-shard-18"",""body-wick-sr-15m-overnight-shard-147""]",archive,historical_reference,none
body-wick-sr-{n}m-overnight-source-data,1,2015246,2026-06-15T20:14:01Z,2026-06-15T20:14:01Z,"[""body-wick-sr-15m-overnight-source-data""]",archive,historical_reference,none
body-wick-sr-{n}m-shard-{n},81,99489960,2026-06-14T15:08:09Z,2026-06-14T15:13:37Z,"[""body-wick-sr-15m-shard-1"",""body-wick-sr-15m-shard-31"",""body-wick-sr-15m-shard-10""]",archive,historical_reference,none
body-wick-sr-{n}m-{n}symbols-backtest-results,2,96103140,2026-06-14T15:09:26Z,2026-06-14T15:15:16Z,"[""body-wick-sr-15m-21symbols-backtest-results"",""body-wick-sr-15m-21symbols-backtest-results""]",archive,historical_reference,none
body-wick-sr-{n}m-{n}symbols-source-data,4,8061078,2026-06-14T14:45:49Z,2026-06-14T15:10:19Z,"[""body-wick-sr-15m-21symbols-source-data"",""body-wick-sr-15m-21symbols-source-data"",""body-wick-sr-15m-21symbols-source-data""]",archive,historical_reference,none
btc-{n}m-all-features-trainonly-data,2,46679770,2026-05-30T17:33:17Z,2026-05-30T19:02:24Z,"[""btc-5m-all-features-trainonly-data"",""btc-5m-all-features-trainonly-data""]",archive,historical_reference,none
btc-{n}m-all-features-trainonly-{n}h-data,1,23339886,2026-05-30T19:40:37Z,2026-05-30T19:40:37Z,"[""btc-5m-all-features-trainonly-9h-data""]",archive,historical_reference,none
btc-{n}m-all-features-{n}methods-trainonly-{n}h-max{n}-real{n}-leaderboard,1,243914294,2026-05-31T05:10:52Z,2026-05-31T05:10:52Z,"[""btc-5m-all-features-5methods-trainonly-9h-max500-real180-leaderboard""]",archive,historical_reference,none
btc-{n}m-all-features-{n}methods-trainonly-{n}h-{n}jobs-leaderboard,3,24362350,2026-05-30T16:54:19Z,2026-05-30T19:06:29Z,"[""btc-5m-all-features-5methods-trainonly-1h-180jobs-leaderboard"",""btc-5m-all-features-5methods-trainonly-1h-180jobs-leaderboard"",""btc-5m-all-features-5methods-trainonly-1h-180jobs-leaderboard""]",archive,historical_reference,none
btc-{n}m-pf{n}-candidates-with-rules,2,16125864,2026-05-31T07:55:52Z,2026-05-31T08:16:02Z,"[""btc-5m-pf105-candidates-with-rules"",""btc-5m-pf105-candidates-with-rules""]",archive,historical_reference,none
btc-{n}m-pf{n}-data-store,2,46679768,2026-05-31T07:55:13Z,2026-05-31T08:14:55Z,"[""btc-5m-pf105-data-store"",""btc-5m-pf105-data-store""]",archive,historical_reference,none
btc-{n}m-pf{n}-robustness-github-ml-a-{n}-{n},216,1284484,2026-05-31T08:52:50Z,2026-05-31T10:41:09Z,"[""btc-5m-pf105-robustness-github-ml-a-1-19"",""btc-5m-pf105-robustness-github-ml-a-0-25"",""btc-5m-pf105-robustness-github-ml-a-0-5""]",archive,historical_reference,none
btc-{n}m-pf{n}-robustness-github-ml-b-{n}-{n},180,646782,2026-05-31T08:38:19Z,2026-05-31T10:12:35Z,"[""btc-5m-pf105-robustness-github-ml-b-8-15"",""btc-5m-pf105-robustness-github-ml-b-9-10"",""btc-5m-pf105-robustness-github-ml-b-8-26""]",archive,historical_reference,none
btc-{n}m-pf{n}-robustness-non-ml-{n},120,5029237,2026-05-31T07:57:40Z,2026-05-31T08:19:35Z,"[""btc-5m-pf105-robustness-non-ml-13"",""btc-5m-pf105-robustness-non-ml-28"",""btc-5m-pf105-robustness-non-ml-20""]",archive,historical_reference,none
