name,sha,protected,protection_url,commit_url
codex/body-wick-sr-launch,6d3810fcf1f568fc06a22ec22ad1a9249d163615,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/body-wick-sr-launch/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/6d3810fcf1f568fc06a22ec22ad1a9249d163615
codex/github-performance-benchmark-matrix,443e16410337fbcfea05e82acdd878b73426bb5f,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/github-performance-benchmark-matrix/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/443e16410337fbcfea05e82acdd878b73426bb5f
codex/github-performance-merge-only-de53-proof,de53d6b4613b5b9741f325bacc18b51be6220c39,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/github-performance-merge-only-de53-proof/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/de53d6b4613b5b9741f325bacc18b51be6220c39
codex/github-performance-native-fallback,5787f4b73690abfdf6deffe7803f4ebd4ac416be,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/github-performance-native-fallback/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/5787f4b73690abfdf6deffe7803f4ebd4ac416be
codex/github-performance-phases2-3,2bfe9ce1295816cfd8103e1c99759024548160ea,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/github-performance-phases2-3/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/2bfe9ce1295816cfd8103e1c99759024548160ea
codex/github-performance-profile-proof-403c,403c165efabc69c0c8c98a88790572b1d3b0bac1,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/github-performance-profile-proof-403c/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/403c165efabc69c0c8c98a88790572b1d3b0bac1
codex/github-performance-profile-reuse,5284e01b0913077e267bd0147e1e84880449caf4,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/github-performance-profile-reuse/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/5284e01b0913077e267bd0147e1e84880449caf4
codex/github-performance-reference-fault,3139bd1843274748a05c25a8c3f88fa65ea5cec4,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/github-performance-reference-fault/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/3139bd1843274748a05c25a8c3f88fa65ea5cec4
codex/github-performance-validation-closure,6d7ea6fe60c709d0b3f81721f20206282c5a53f1,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/github-performance-validation-closure/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/6d7ea6fe60c709d0b3f81721f20206282c5a53f1
codex/gtbi-clean-portfolio-sizing-v7,c4df224a2ff4f04e83963ab357c01e2d79048936,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/gtbi-clean-portfolio-sizing-v7/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/c4df224a2ff4f04e83963ab357c01e2d79048936
codex/gtbi-github-only-external-pack-72000,cb80c5065c127322a303d58aea0f6c05337a6c9e,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/gtbi-github-only-external-pack-72000/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/cb80c5065c127322a303d58aea0f6c05337a6c9e
codex/gtbi-v7-master-plan-bootstrap,a559dbb1fa5de30b3250083d38be2672c702fb48,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/gtbi-v7-master-plan-bootstrap/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/a559dbb1fa5de30b3250083d38be2672c702fb48
codex/gtbi-v7-readiness-execution,d7489dc64756274f981f2600b2e50de8404e44d0,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/gtbi-v7-readiness-execution/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/d7489dc64756274f981f2600b2e50de8404e44d0
codex/pit-limited-36tests-360jobs,42a6cd389bc9b67a46be2ca38a950bd869f8f401,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/pit-limited-36tests-360jobs/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/42a6cd389bc9b67a46be2ca38a950bd869f8f401
codex/register-calmar-gt1-pvalue-workflow,557d5cb775b9aaf5162d68c63993636a0c6f2bee,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/register-calmar-gt1-pvalue-workflow/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/557d5cb775b9aaf5162d68c63993636a0c6f2bee
codex/spy-15m-sr-main,70a183629667f5ff56830379f1b82ee994d76252,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/spy-15m-sr-main/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/70a183629667f5ff56830379f1b82ee994d76252
codex/spy-annual-dominance-360,03326e1e748da70c89a4a74a133d7d66a7547989,false,https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/codex/spy-annual-dominance-360/protection,https://api.github.com/repos/trading-optimizer-lab-org/aurora/commits/03326e1e748da70c89a4a74a133d7d66a7547989
