asset_type,identity,owner,purpose,product,status,canonical_replacement,retention_class,last_verified_at,decision,sha_or_id
branch,codex/body-wick-sr-launch,github-user:271768688,source branch,AURORA_RESEARCH,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,6d3810fcf1f568fc06a22ec22ad1a9249d163615
branch,codex/github-performance-benchmark-matrix,github-user:271768688,source branch,AURORA_PERFORMANCE_FRAMEWORK,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,443e16410337fbcfea05e82acdd878b73426bb5f
branch,codex/github-performance-merge-only-de53-proof,github-user:271768688,source branch,AURORA_PERFORMANCE_FRAMEWORK,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,de53d6b4613b5b9741f325bacc18b51be6220c39
branch,codex/github-performance-native-fallback,github-user:271768688,source branch,AURORA_PERFORMANCE_FRAMEWORK,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,5787f4b73690abfdf6deffe7803f4ebd4ac416be
branch,codex/github-performance-phases2-3,github-user:271768688,source branch,AURORA_PERFORMANCE_FRAMEWORK,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,2bfe9ce1295816cfd8103e1c99759024548160ea
branch,codex/github-performance-profile-proof-403c,github-user:271768688,source branch,AURORA_PERFORMANCE_FRAMEWORK,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,403c165efabc69c0c8c98a88790572b1d3b0bac1
branch,codex/github-performance-profile-reuse,github-user:271768688,source branch,AURORA_PERFORMANCE_FRAMEWORK,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,5284e01b0913077e267bd0147e1e84880449caf4
branch,codex/github-performance-reference-fault,github-user:271768688,source branch,AURORA_PERFORMANCE_FRAMEWORK,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,3139bd1843274748a05c25a8c3f88fa65ea5cec4
branch,codex/github-performance-validation-closure,github-user:271768688,source branch,AURORA_PERFORMANCE_FRAMEWORK,inactive_preserved,none,historical_source,2026-08-03T05:47:25.644301Z,archive,6d7ea6fe60c709d0b3f81721f20206282c5a53f1
branch,codex/gtbi-clean-portfolio-sizing-v7,github-user:271768688,source branch,GTBI_HISTORICAL_RESEARCH,inactive_preserved,gtbi_v7_new_reference_v1,historical_source,2026-08-03T05:47:25.644301Z,archive,c4df224a2ff4f04e83963ab357c01e2d79048936
