branch_id,task_id,predicate_schema_digest,predicate_evidence_digest,selected_successor,unselected_alternative_completion,invalidated_evidence_classes,affected_gates,decision_actor_id,decision_receipt_digest
ABANDONED_DISPATCH_BOUNDARY,PREV7-0914,sha256:81ab36ec3351c9517ad914d4962fb693b9dc99a8e8a0767dcf97326afeb59510,,,decision_not_yet_selected,[],"[""G9X""]",,
APP_PRIVATE_KEY_IMPORT,PREV7-0204,sha256:89b4e5cd2bdd554b0011db05ea78a0eb45478a3ad4bddc58820b53755c51e290,,,decision_not_yet_selected,[],"[""G3A""]",,
APP_PRIVATE_KEY_IMPORT,PREV7-0308,sha256:89b4e5cd2bdd554b0011db05ea78a0eb45478a3ad4bddc58820b53755c51e290,,,decision_not_yet_selected,[],"[""G3B""]",,
CAPACITY_TOPOLOGY,PREV7-0309,sha256:8054834d63f874e6734b61963104e80b38856fb1ef0fabb395a9d3b2871fb55a,,,decision_not_yet_selected,[],"[""G2""]",,
EMERGENCY_ESCROW,PREV7-0012,sha256:d5ad363eafafcb541e060a3a807e472496aed44a126d2305859f562bb406f864,,,decision_not_yet_selected,[],"[""G0""]",,
EXECUTION_TOPOLOGY,PREV7-0309,sha256:b61234efeb69677797997cf678b71234d1a53eb975802668e973c1c170d4ea5e,,,decision_not_yet_selected,[],"[""G2""]",,
FORWARD_LOCK,PREV7-0504,sha256:6322cfcd79a2c4e72519634a70836bcc616e71121db8e5c7239272e28b458ad1,,,decision_not_yet_selected,[],"[""G5""]",,
FULL_DISPOSITION,PREV7-0310,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0801,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0802,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0803,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0804,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0805,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0806,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0914,[],"[""G9"",""G9X""]",,
FULL_DISPOSITION,PREV7-0807,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
FULL_DISPOSITION,PREV7-0808,sha256:721185ae6af47027f66adc9b0081b4130de2945c987db6ca67f51f42bbfe1b74,,,PREV7-0910,[],"[""G8"",""G9X""]",,
