gate_id,prerequisite_gate_ids,required_task_ids,required_condition,branch_policy,gate_definition_digest
G0,[],"[""PREV7-0000"",""PREV7-0001"",""PREV7-0002"",""PREV7-0003"",""PREV7-0004"",""PREV7-0005"",""PREV7-0006"",""PREV7-0007"",""PREV7-0008"",""PREV7-0009"",""PREV7-0010"",""PREV7-0011"",""PREV7-0012""]","`PREV7-0000`, `PREV7-0001`, `PREV7-0002`, `PREV7-0003`, `PREV7-0004`, `PREV7-0005`, `PREV7-0006`, `PREV7-0007`, `PREV7-0008`, `PREV7-0009`, `PREV7-0010`, `PREV7-0012`, plus conditional safety task `PREV7-0011` terminally satisfied by either its direct no-go receipt or the exact `G0_READY_EXCEPT_0011` alternative-completion transaction",conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:94b4f8d96d62461b22180999c0e4a4a6637b55bf95ce1dfd1669ac36f43da8c9
G10,"[""G9""]","[""PREV7-0406"",""PREV7-0407"",""PREV7-1001"",""PREV7-1002"",""PREV7-1003""]","`PREV7-0406`, `PREV7-0407`, `PREV7-1001`, `PREV7-1002`, `PREV7-1003`",conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:7ae47cb574c74c966690112f2e18fe8956357c2a60757b55c88a7225afb4af5f
G1A,"[""G0""]","[""PREV7-0101"",""PREV7-0102"",""PREV7-0103""]","`PREV7-0101`, `PREV7-0102`, `PREV7-0103`",conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:c4fdf2c4ee5e39055cec33e3ee0464a9df98ce78fce3bea17dd6a3a29be58194
G1B,[],"[""PREV7-0201""]","`PREV7-0201`, explicit owner acceptance and passing automated role/policy checks; no distinct reviewer or custodian is required",conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:4d2f070bbc159aa0674e1827c4055951dbae8e39124c12a21c4e2fcc44ebc7e4
G2,"[""G3A""]","[""PREV7-0301"",""PREV7-0302"",""PREV7-0303"",""PREV7-0304"",""PREV7-0305"",""PREV7-0306"",""PREV7-0307"",""PREV7-0309""]","`PREV7-0301` through `PREV7-0307`, plus `PREV7-0309`",conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:b883377516266356f5a155255a30b38efdeede011884ca52fed3d36263cf2bb3
G3A,"[""G1A""]","[""PREV7-0202"",""PREV7-0204"",""PREV7-0205"",""PREV7-0206"",""PREV7-0210""]","`PREV7-0202`, `PREV7-0204`, `PREV7-0205`, `PREV7-0206`, `PREV7-0210`",conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:0c38d698e15e4fb48a6cbf3f762ffc9785ee0cd28d5f3ae7d30b71856d58336e
G3B,"[""G1B"",""G3A"",""G6A""]","[""PREV7-0203"",""PREV7-0207"",""PREV7-0208"",""PREV7-0209"",""PREV7-0308""]","`PREV7-0203`, `PREV7-0207`, `PREV7-0208`, `PREV7-0209`, `PREV7-0308`",conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:d8585d4f942ccf3fab16cc0d0b561a400c0573329d72b148efcf648f73078e00
G4,"[""G2""]","[""PREV7-0400"",""PREV7-0401"",""PREV7-0402"",""PREV7-0403"",""PREV7-0404"",""PREV7-0405""]",`PREV7-0400` through `PREV7-0405`; cleanup tasks `0406` and `0407` remain post-campaign,conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:bb34991abd7da09ef3db8a939dc1be9ce0c80542fd0098ef76e17bedf3d7c166
G5,"[""G1B"",""G4""]","[""PREV7-0501"",""PREV7-0502"",""PREV7-0503"",""PREV7-0504"",""PREV7-0505"",""PREV7-0506"",""PREV7-0507"",""PREV7-0508"",""PREV7-0509""]",`PREV7-0501` through `PREV7-0509`,conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:aa11bca6e5558f0f52161afa22705aefe97260bcea9ef3df845f0ab944f2d684
G6A,"[""G5""]","[""PREV7-0601"",""PREV7-0602"",""PREV7-0603"",""PREV7-0604"",""PREV7-0605"",""PREV7-0606"",""PREV7-0607"",""PREV7-0608"",""PREV7-0609""]",`PREV7-0601` through `PREV7-0609`,conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:80d16d35b27bbd9f5ac0af6ef00ebda5991d3c4bbb58b3181f8d9d9abc3ba056
G6B,"[""G3B"",""G6A""]","[""PREV7-0610"",""PREV7-0611""]","`PREV7-0610`, `PREV7-0611`",conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:d48b0aa1de0d1127877ef0ef2b6123f05149181f22ee90525b16f46f91bfc7f3
G7,"[""G3B"",""G6B""]","[""PREV7-0701"",""PREV7-0702"",""PREV7-0703"",""PREV7-0704"",""PREV7-0705"",""PREV7-0706"",""PREV7-0707"",""PREV7-0708"",""PREV7-0710"",""PREV7-0711"",""PREV7-0712"",""PREV7-0713"",""PREV7-0714"",""PREV7-0715""]","`PREV7-0701` through `PREV7-0708`, plus `PREV7-0710` through `PREV7-0715`, and dynamic condition `current_G7_attempt_generation` has a successful authenticated terminal disposition, a closed dispatch registry, zero admitted nonterminal operations and the terminal cleanup child receipt for that same generation",conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:5ebf74b72497487bfdfb916132e7e8c20ee9e756a1a6c3f274220fc8c0270a89
G8,"[""G3B"",""G7""]","[""PREV7-0310"",""PREV7-0800"",""PREV7-0801"",""PREV7-0802"",""PREV7-0803"",""PREV7-0804"",""PREV7-0805"",""PREV7-0807"",""PREV7-0808"",""PREV7-0809"",""PREV7-0810"",""PREV7-0811"",""PREV7-0812"",""PREV7-0813"",""PREV7-0814"",""PREV7-0815"",""PREV7-0816""]","`PREV7-0310`, `PREV7-0800` through `PREV7-0805` and `PREV7-0807` through `PREV7-0816`",conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:cd480b7d5511a62ce5e3bc9dc8408e2bd78a671de5fa69b6ddd05f240756e03d
G9,"[""G8"",""G8""]","[""PREV7-0806"",""PREV7-0901"",""PREV7-0902"",""PREV7-0903"",""PREV7-0904"",""PREV7-0905"",""PREV7-0906"",""PREV7-0907"",""PREV7-0913""]","`PREV7-0806`, `PREV7-0901`, `PREV7-0902`, `PREV7-0904`, `PREV7-0905`, `PREV7-0906`, `PREV7-0907`, `PREV7-0903` and terminally satisfied `PREV7-0913`",conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:170e097a021ad126f89d994afd8b8f78bde59e2ae73721e72c96e54aa4cd74c5
G9X,"[""G6B""]","[""PREV7-0714"",""PREV7-0814"",""PREV7-0910"",""PREV7-0911"",""PREV7-0912"",""PREV7-0913"",""PREV7-0914""]","Abandoned-clean safety track only: completed `PREV7-0714` plus condition `G7 green OR exact G7_ATTEMPT_DISPOSITION=failed_abandoned_clean receipt`, then `PREV7-0814`, `PREV7-0910`, `PREV7-0914`, `PREV7-0911`, `PREV7-0912` and terminally satisfied `PREV7-0913`; it never greens `G8`, `G9` or `G10`",conditional_branch_registry.csv; owner_simplification_directive_v1,sha256:1198b7c9dc386b05e8c4736f19bea0cac4b523df7c704d157b8b7c2318f3a2d8
