gate_id,gate_attempt_id,gate_version,status,prerequisite_gate_ids,gate_definition_digest,evaluated_required_task_ids,required_task_id_set_digest,required_condition_digest,selected_branch_id_or_null,inventory_snapshot_digest_or_null,evidence_bundle_digest,blocking_reason,evaluated_at_utc,evaluated_commit_sha
G0,G0-attempt-0001,2,green,[],sha256:94b4f8d96d62461b22180999c0e4a4a6637b55bf95ce1dfd1669ac36f43da8c9,"[""PREV7-0000"",""PREV7-0001"",""PREV7-0002"",""PREV7-0003"",""PREV7-0004"",""PREV7-0005"",""PREV7-0006"",""PREV7-0007"",""PREV7-0008"",""PREV7-0009"",""PREV7-0010"",""PREV7-0011"",""PREV7-0012""]",sha256:f0292b024b27da43ba0795574b96e625e57d04b9e1ab035d8f143f0f087efd10,sha256:af6938b7093dbf19fed77b26c06fea7a43833c998d48790954b77bb2b32a48c6,G0_BOOTSTRAP_DISPOSITION,sha256:3a93d655520be90818b81df0179cdbde35ca82aea4229292806619758ed300be,sha256:56f32274081026f0efd43eaa40db5dc0c2a1b7558bec593e0d41a5d0fbe231b2,,2026-07-30T16:00:00.000092Z,3b6bf272516cbf2cc7c7bafee9c4dfdd80ac7ade
G10,G10-attempt-0000,1,red,"[""G9""]",sha256:7ae47cb574c74c966690112f2e18fe8956357c2a60757b55c88a7225afb4af5f,"[""PREV7-0406"",""PREV7-0407"",""PREV7-1001"",""PREV7-1002"",""PREV7-1003""]",sha256:9005451e7747116be216b0bc3949bf6f280fd4e1c86c3a2670679dce77366495,sha256:bf5d607a35140d1e2988aafddc33ee7112ffa109718a73477ff011d4910f7da2,,sha256:f99b7beef54c529e2fd62104403b9d34785b2c960ddcdbc6bbde1ebf2b26dfbb,sha256:4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,required_tasks_not_done,2026-07-29T00:00:00Z,56251bbdd76a994b5032b912e9266253af3f4091
G1A,G1A-attempt-0000,1,red,"[""G0""]",sha256:c4fdf2c4ee5e39055cec33e3ee0464a9df98ce78fce3bea17dd6a3a29be58194,"[""PREV7-0101"",""PREV7-0102"",""PREV7-0103""]",sha256:422a050ffa35c8a2d1b6dcc5334c11f5d0e977a90603cb7de8a250febfe25908,sha256:fd3de598a01c6f5feb54aea857300a33a5418d38eab03e7f5e33c58c34a6e60c,,sha256:f99b7beef54c529e2fd62104403b9d34785b2c960ddcdbc6bbde1ebf2b26dfbb,sha256:4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,required_tasks_not_done,2026-07-29T00:00:00Z,56251bbdd76a994b5032b912e9266253af3f4091
G1B,G1B-attempt-0000,1,red,[],sha256:4d2f070bbc159aa0674e1827c4055951dbae8e39124c12a21c4e2fcc44ebc7e4,"[""PREV7-0201""]",sha256:cc416aba139c10612c73b259cee34cf489ef66ffc33555714a5574a14d584d0a,sha256:974b1dbcdee76cd3f9ca6ae919f73048fee22f3b424758755817903d18bcfd33,,sha256:f99b7beef54c529e2fd62104403b9d34785b2c960ddcdbc6bbde1ebf2b26dfbb,sha256:4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,required_tasks_not_done,2026-07-29T00:00:00Z,56251bbdd76a994b5032b912e9266253af3f4091
G2,G2-attempt-0000,1,red,"[""G3A""]",sha256:b883377516266356f5a155255a30b38efdeede011884ca52fed3d36263cf2bb3,"[""PREV7-0301"",""PREV7-0302"",""PREV7-0303"",""PREV7-0304"",""PREV7-0305"",""PREV7-0306"",""PREV7-0307"",""PREV7-0309""]",sha256:30d52bd102eb17c955fa182d041c6187564b743dd0d1d11c4ad876ceda173a89,sha256:7c614d474762a8bc605bbcfb65185cd16c2470e6392a4ed20a07221eb6319ce0,,sha256:f99b7beef54c529e2fd62104403b9d34785b2c960ddcdbc6bbde1ebf2b26dfbb,sha256:4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,required_tasks_not_done,2026-07-29T00:00:00Z,56251bbdd76a994b5032b912e9266253af3f4091
G3A,G3A-attempt-0000,1,red,"[""G1A""]",sha256:0c38d698e15e4fb48a6cbf3f762ffc9785ee0cd28d5f3ae7d30b71856d58336e,"[""PREV7-0202"",""PREV7-0204"",""PREV7-0205"",""PREV7-0206"",""PREV7-0210""]",sha256:aca74f8639675f02232e016bb7519c28398656b9ab0be7a170461c4c897462e1,sha256:1ea14b58b59b28903447f353cb9df5920ab7533bd1b6262a15227a9a47cec740,,sha256:f99b7beef54c529e2fd62104403b9d34785b2c960ddcdbc6bbde1ebf2b26dfbb,sha256:4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,required_tasks_not_done,2026-07-29T00:00:00Z,56251bbdd76a994b5032b912e9266253af3f4091
G3B,G3B-attempt-0000,1,red,"[""G1B"",""G3A"",""G6A""]",sha256:d8585d4f942ccf3fab16cc0d0b561a400c0573329d72b148efcf648f73078e00,"[""PREV7-0203"",""PREV7-0207"",""PREV7-0208"",""PREV7-0209"",""PREV7-0308""]",sha256:b32737d56a46613445b3ea97d3497489ab58e5c640a41297970a721328140294,sha256:13a8131bbba2461918a9266e8464790c284034806df8ac0a43559abafb3b3333,,sha256:f99b7beef54c529e2fd62104403b9d34785b2c960ddcdbc6bbde1ebf2b26dfbb,sha256:4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,required_tasks_not_done,2026-07-29T00:00:00Z,56251bbdd76a994b5032b912e9266253af3f4091
G4,G4-attempt-0000,1,red,"[""G2""]",sha256:bb34991abd7da09ef3db8a939dc1be9ce0c80542fd0098ef76e17bedf3d7c166,"[""PREV7-0400"",""PREV7-0401"",""PREV7-0402"",""PREV7-0403"",""PREV7-0404"",""PREV7-0405""]",sha256:44ed345b0b239d0543d6f42494e6f53f5f15678e1ff5e8dce428c3d5a39ad3fd,sha256:15f5fe79c026be8569a0b70f318184db93165713f8cafe807663425e96157413,,sha256:f99b7beef54c529e2fd62104403b9d34785b2c960ddcdbc6bbde1ebf2b26dfbb,sha256:4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,required_tasks_not_done,2026-07-29T00:00:00Z,56251bbdd76a994b5032b912e9266253af3f4091
G5,G5-attempt-0000,1,red,"[""G1B"",""G4""]",sha256:aa11bca6e5558f0f52161afa22705aefe97260bcea9ef3df845f0ab944f2d684,"[""PREV7-0501"",""PREV7-0502"",""PREV7-0503"",""PREV7-0504"",""PREV7-0505"",""PREV7-0506"",""PREV7-0507"",""PREV7-0508"",""PREV7-0509""]",sha256:546008d060af590e86959254b00530db0ce721a89f4f279a9b7f266debee8231,sha256:1ef030cb51b0322ae977fc7a755f22ef5b19662ad0140579607c11dd3157eb66,,sha256:f99b7beef54c529e2fd62104403b9d34785b2c960ddcdbc6bbde1ebf2b26dfbb,sha256:4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,required_tasks_not_done,2026-07-29T00:00:00Z,56251bbdd76a994b5032b912e9266253af3f4091
G6A,G6A-attempt-0000,1,red,"[""G5""]",sha256:80d16d35b27bbd9f5ac0af6ef00ebda5991d3c4bbb58b3181f8d9d9abc3ba056,"[""PREV7-0601"",""PREV7-0602"",""PREV7-0603"",""PREV7-0604"",""PREV7-0605"",""PREV7-0606"",""PREV7-0607"",""PREV7-0608"",""PREV7-0609""]",sha256:00e1ed745daee752255225c9cf2d85caff15e5c6cb959ead27ff896eb1c9926c,sha256:1d85ebb2036c37324a5c6a000c6598785c15d0fa28805c822246ac163a7d31a0,,sha256:f99b7beef54c529e2fd62104403b9d34785b2c960ddcdbc6bbde1ebf2b26dfbb,sha256:4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,required_tasks_not_done,2026-07-29T00:00:00Z,56251bbdd76a994b5032b912e9266253af3f4091
