task_id,estimated_work_hours,estimated_elapsed_hours,external_lead_time_hours,planning_state,planning_blocker_code_or_null,earliest_start_utc,due_at_utc,schedule_owner_role,required_participant_role_ids,required_participant_actor_ids,participant_availability_manifest_digest,participant_max_concurrent_tasks_by_actor,review_lead_time_hours,provider_or_hiring_lead_time_hours,budget_currency,estimated_cost_entries_by_domain,estimate_basis_digest,approved_at_utc
PREV7-0000,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:620ca08e0809df789c349dec8b8b88d8cf04699dcdcd20884b5a60ebe3fd350c,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0001,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:620ca08e0809df789c349dec8b8b88d8cf04699dcdcd20884b5a60ebe3fd350c,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0002,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:620ca08e0809df789c349dec8b8b88d8cf04699dcdcd20884b5a60ebe3fd350c,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0003,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:620ca08e0809df789c349dec8b8b88d8cf04699dcdcd20884b5a60ebe3fd350c,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0004,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:620ca08e0809df789c349dec8b8b88d8cf04699dcdcd20884b5a60ebe3fd350c,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0005,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:620ca08e0809df789c349dec8b8b88d8cf04699dcdcd20884b5a60ebe3fd350c,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0006,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:620ca08e0809df789c349dec8b8b88d8cf04699dcdcd20884b5a60ebe3fd350c,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0007,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,source_app_manager,"[""source_app_manager""]","[""github-user:271768688""]",sha256:620ca08e0809df789c349dec8b8b88d8cf04699dcdcd20884b5a60ebe3fd350c,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0008,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,implementer,"[""implementer""]","[""github-user:271768688""]",sha256:620ca08e0809df789c349dec8b8b88d8cf04699dcdcd20884b5a60ebe3fd350c,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0009,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,repository_owner,"[""repository_owner""]","[""github-user:271768688""]",sha256:620ca08e0809df789c349dec8b8b88d8cf04699dcdcd20884b5a60ebe3fd350c,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
PREV7-0010,,,,blocked_missing_price,COST_ESTIMATE_NOT_FROZEN,,,source_app_manager,"[""source_app_manager""]","[""github-user:271768688""]",sha256:620ca08e0809df789c349dec8b8b88d8cf04699dcdcd20884b5a60ebe3fd350c,"{""github-user:271768688"":1}",,,USD,{},sha256:32d0316c75e73c962bd2be0f4e2f81784c5094dcea59e4f39c5cf6f641e8cbc6,
