strategy_id,family,concept,entry_profile_id,exit_profile_id,market_profile_id,rs_profile_id,trend_profile_id,target_avg_holding_days,minimum_holding_days_before_soft_exit,max_holding_days,stop_loss_pct,take_profit_pct,atr_stop_mult
lhv1_4cfe4347f5_fam_00_v0000,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_stage2_bull_confirmed,rs_ratio_above_ma63,trend_ema20_ema50,42,10,63,7.0,22.0,3.0
lhv1_41fb01e37d_fam_00_v0001,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_stage2_bull_confirmed,rs_ratio_above_ma63,trend_ema50_sma200,42,10,63,7.0,22.0,3.0
lhv1_5ba2bbac60_fam_00_v0002,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_stage2_bull_confirmed,rs_ratio_above_ma63,trend_stage2_sma150,42,10,63,7.0,22.0,3.0
lhv1_7caa9f20b6_fam_00_v0003,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_stage2_bull_confirmed,rs_ratio_above_ma63,trend_quality_compounder,42,10,63,7.0,22.0,3.0
lhv1_d529eb7df8_fam_00_v0004,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_stage2_bull_confirmed,rs_new_high_126d,trend_ema20_ema50,42,10,63,7.0,22.0,3.0
lhv1_3c9fa96860_fam_00_v0005,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_stage2_bull_confirmed,rs_new_high_126d,trend_ema50_sma200,42,10,63,7.0,22.0,3.0
lhv1_1f20130a54_fam_00_v0006,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_stage2_bull_confirmed,rs_new_high_126d,trend_stage2_sma150,42,10,63,7.0,22.0,3.0
lhv1_aef068c572_fam_00_v0007,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_stage2_bull_confirmed,rs_new_high_126d,trend_quality_compounder,42,10,63,7.0,22.0,3.0
lhv1_809d58db02_fam_00_v0008,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_stage2_bull_confirmed,rs_positive_3m_acceleration,trend_ema20_ema50,42,10,63,7.0,22.0,3.0
lhv1_524f8eafd1_fam_00_v0009,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_stage2_bull_confirmed,rs_positive_3m_acceleration,trend_ema50_sma200,42,10,63,7.0,22.0,3.0
lhv1_650b7798b1_fam_00_v0010,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_stage2_bull_confirmed,rs_positive_3m_acceleration,trend_stage2_sma150,42,10,63,7.0,22.0,3.0
lhv1_cea80bf100_fam_00_v0011,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_stage2_bull_confirmed,rs_positive_3m_acceleration,trend_quality_compounder,42,10,63,7.0,22.0,3.0
lhv1_5b4c966a62_fam_00_v0012,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_above_sma50_not_crashing,rs_ratio_above_ma63,trend_ema20_ema50,42,10,63,7.0,22.0,3.0
lhv1_1f5091905b_fam_00_v0013,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_above_sma50_not_crashing,rs_ratio_above_ma63,trend_ema50_sma200,42,10,63,7.0,22.0,3.0
lhv1_ab8cb5f0e9_fam_00_v0014,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_above_sma50_not_crashing,rs_ratio_above_ma63,trend_stage2_sma150,42,10,63,7.0,22.0,3.0
lhv1_5f8e5711dd_fam_00_v0015,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_above_sma50_not_crashing,rs_ratio_above_ma63,trend_quality_compounder,42,10,63,7.0,22.0,3.0
lhv1_893e9047eb_fam_00_v0016,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_above_sma50_not_crashing,rs_new_high_126d,trend_ema20_ema50,42,10,63,7.0,22.0,3.0
lhv1_eb30d66dbd_fam_00_v0017,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_above_sma50_not_crashing,rs_new_high_126d,trend_ema50_sma200,42,10,63,7.0,22.0,3.0
lhv1_9080043549_fam_00_v0018,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_above_sma50_not_crashing,rs_new_high_126d,trend_stage2_sma150,42,10,63,7.0,22.0,3.0
lhv1_7e217bd4f0_fam_00_v0019,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_above_sma50_not_crashing,rs_new_high_126d,trend_quality_compounder,42,10,63,7.0,22.0,3.0
lhv1_bb7ea9e8f5_fam_00_v0020,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_above_sma50_not_crashing,rs_positive_3m_acceleration,trend_ema20_ema50,42,10,63,7.0,22.0,3.0
lhv1_26b995713b_fam_00_v0021,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_above_sma50_not_crashing,rs_positive_3m_acceleration,trend_ema50_sma200,42,10,63,7.0,22.0,3.0
lhv1_0de155c374_fam_00_v0022,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_above_sma50_not_crashing,rs_positive_3m_acceleration,trend_stage2_sma150,42,10,63,7.0,22.0,3.0
lhv1_34be8202f2_fam_00_v0023,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_above_sma50_not_crashing,rs_positive_3m_acceleration,trend_quality_compounder,42,10,63,7.0,22.0,3.0
lhv1_796e16a1df_fam_00_v0024,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_pullback_reclaim,rs_ratio_above_ma63,trend_ema20_ema50,42,10,63,7.0,22.0,3.0
lhv1_50ba3c8dce_fam_00_v0025,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_pullback_reclaim,rs_ratio_above_ma63,trend_ema50_sma200,42,10,63,7.0,22.0,3.0
lhv1_a579a7229a_fam_00_v0026,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_pullback_reclaim,rs_ratio_above_ma63,trend_stage2_sma150,42,10,63,7.0,22.0,3.0
lhv1_b6c2028983_fam_00_v0027,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_pullback_reclaim,rs_ratio_above_ma63,trend_quality_compounder,42,10,63,7.0,22.0,3.0
lhv1_4f15454cf6_fam_00_v0028,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_pullback_reclaim,rs_new_high_126d,trend_ema20_ema50,42,10,63,7.0,22.0,3.0
lhv1_df4b507486_fam_00_v0029,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_pullback_reclaim,rs_new_high_126d,trend_ema50_sma200,42,10,63,7.0,22.0,3.0
lhv1_0e9ac15ebb_fam_00_v0030,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_pullback_reclaim,rs_new_high_126d,trend_stage2_sma150,42,10,63,7.0,22.0,3.0
lhv1_5d068cbc39_fam_00_v0031,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_pullback_reclaim,rs_new_high_126d,trend_quality_compounder,42,10,63,7.0,22.0,3.0
lhv1_1ccf9bcb1c_fam_00_v0032,long_trend_pullback,ema20_pullback_continuation,conservative_reclaim,ema50_trail_63d,spy_pullback_reclaim,rs_positive_3m_acceleration,trend_ema20_ema50,42,10,63,7.0,22.0,3.0
